github.com/sg-evals/vitejs-vite	vitejs/vite
github.com/sg-evals/tonsky-FiraCode	tonsky/FiraCode
github.com/sg-evals/junegunn-fzf	junegunn/fzf
github.com/sg-evals/OpenHands-OpenHands	OpenHands/OpenHands
github.com/sg-evals/jesseduffield-lazygit	jesseduffield/lazygit
github.com/sg-evals/lobehub-lobehub	lobehub/lobehub
github.com/sg-evals/hoppscotch-hoppscotch	hoppscotch/hoppscotch
github.com/sg-evals/anuraghazra-github-readme-stats	anuraghazra/github-readme-stats
github.com/sg-evals/doocs-advanced-java	doocs/advanced-java
github.com/sg-evals/coder-code-server	coder/code-server
github.com/sg-evals/Z4nzu-hackingtool	Z4nzu/hackingtool
github.com/sg-evals/addyosmani-agent-skills	addyosmani/agent-skills
github.com/sg-evals/nexu-io-open-design	nexu-io/open-design
github.com/sg-evals/ventoy-Ventoy	ventoy/Ventoy
github.com/sg-evals/tensorflow-models	tensorflow/models
github.com/sg-evals/elastic-elasticsearch	elastic/elasticsearch
github.com/sg-evals/bytedance-deer-flow	bytedance/deer-flow
github.com/sg-evals/nestjs-nest	nestjs/nest
github.com/sg-evals/typicode-json-server	typicode/json-server
github.com/sg-evals/openai-openai-cookbook	openai/openai-cookbook
github.com/sg-evals/ocornut-imgui	ocornut/imgui
github.com/sg-evals/opendatalab-MinerU	opendatalab/MinerU
github.com/sg-evals/caddyserver-caddy	caddyserver/caddy
github.com/sg-evals/Egonex-AI-Understand-Anything	Egonex-AI/Understand-Anything
github.com/sg-evals/unionlabs-union	unionlabs/union
github.com/sg-evals/obsproject-obs-studio	obsproject/obs-studio
github.com/sg-evals/apache-superset	apache/superset
github.com/sg-evals/python-cpython	python/cpython
github.com/sg-evals/AppFlowy-IO-AppFlowy	AppFlowy-IO/AppFlowy
github.com/sg-evals/paperclipai-paperclip	paperclipai/paperclip
github.com/sg-evals/hiyouga-LlamaFactory	hiyouga/LlamaFactory
github.com/sg-evals/Eugeny-tabby	Eugeny/tabby
github.com/sg-evals/thedaviddias-Front-End-Checklist	thedaviddias/Front-End-Checklist
github.com/sg-evals/strapi-strapi	strapi/strapi
github.com/sg-evals/unclecode-crawl4ai	unclecode/crawl4ai
github.com/sg-evals/danielmiessler-SecLists	danielmiessler/SecLists
github.com/sg-evals/hakimel-reveal.js	hakimel/reveal.js
github.com/sg-evals/moby-moby	moby/moby
github.com/sg-evals/pallets-flask	pallets/flask
github.com/sg-evals/binary-husky-gpt_academic	binary-husky/gpt_academic
github.com/sg-evals/nektos-act	nektos/act
github.com/sg-evals/juliangarnier-anime	juliangarnier/anime
github.com/sg-evals/rtk-ai-rtk	rtk-ai/rtk
github.com/sg-evals/NationalSecurityAgency-ghidra	NationalSecurityAgency/ghidra
github.com/sg-evals/toeverything-AFFiNE	toeverything/AFFiNE
github.com/sg-evals/ansible-ansible	ansible/ansible
github.com/sg-evals/FoundationAgents-MetaGPT	FoundationAgents/MetaGPT
github.com/sg-evals/gastownhall-gascity	gastownhall/gascity
github.com/sg-evals/nodejs-node	nodejs/node
